Number: 6980368, Binary: 11010101000001100010000, Hex: 6A8310
Number: 3992019, Binary: 1111001110100111010011, Hex: 3CE9D3
Number: 8184782, Binary: 11111001110001111001110, Hex: 7CE3CE
Number: 2847975, Binary: 1010110111010011100111, Hex: 2B74E7
Number: 7891025, Binary: 11110000110100001010001, Hex: 786851
Number: 900082, Binary: 11011011101111110010, Hex: DBBF2
Number: 1831532, Binary: 110111111001001101100, Hex: 1BF26C
Number: 8428253, Binary: 100000001001101011011101, Hex: 809ADD
Number: 2905752, Binary: 1011000101011010011000, Hex: 2C5698
Number: 9763121, Binary: 100101001111100100110001, Hex: 94F931
Number: 257890, Binary: 111110111101100010, Hex: 3EF62
Number: 4699761, Binary: 10001111011011001110001, Hex: 47B671
Number: 359541, Binary: 1010111110001110101, Hex: 57C75
Number: 3446150, Binary: 1101001001010110000110, Hex: 349586
Number: 4246818, Binary: 10000001100110100100010, Hex: 40CD22
Number: 1848840, Binary: 111000011011000001000, Hex: 1C3608
Number: 938480, Binary: 11100101000111110000, Hex: E51F0
Number: 227465, Binary: 110111100010001001, Hex: 37889
Number: 3923488, Binary: 1110111101111000100000, Hex: 3BDE20
Number: 8915697, Binary: 100010000000101011110001, Hex: 880AF1
Number: 4309094, Binary: 10000011100000001100110, Hex: 41C066
Number: 3891251, Binary: 1110110110000000110011, Hex: 3B6033
Number: 8627956, Binary: 100000111010011011110100, Hex: 83A6F4
Number: 5884613, Binary: 10110011100101011000101, Hex: 59CAC5
Number: 1659318, Binary: 110010101000110110110, Hex: 1951B6
Number: 1834855, Binary: 110111111111101100111, Hex: 1BFF67
Number: 3386751, Binary: 1100111010110101111111, Hex: 33AD7F
Number: 3000166, Binary: 1011011100011101100110, Hex: 2DC766
Number: 9135626, Binary: 100010110110011000001010, Hex: 8B660A
Number: 4869260, Binary: 10010100100110010001100, Hex: 4A4C8C
Number: 76550, Binary: 10010101100000110, Hex: 12B06
Number: 432271, Binary: 1101001100010001111, Hex: 6988F
Number: 251028, Binary: 111101010010010100, Hex: 3D494
Number: 7016218, Binary: 11010110000111100011010, Hex: 6B0F1A
Number: 6896099, Binary: 11010010011100111100011, Hex: 6939E3
Number: 8386350, Binary: 11111111111011100101110, Hex: 7FF72E
Number: 8637147, Binary: 100000111100101011011011, Hex: 83CADB
Number: 936705, Binary: 11100100101100000001, Hex: E4B01
Number: 6602175, Binary: 11001001011110110111111, Hex: 64BDBF
Number: 1429181, Binary: 101011100111010111101, Hex: 15CEBD
Number: 8395138, Binary: 100000000001100110000010, Hex: 801982
Number: 6132809, Binary: 10111011001010001001001, Hex: 5D9449
Number: 5936917, Binary: 10110101001011100010101, Hex: 5A9715
Number: 2878578, Binary: 1010111110110001110010, Hex: 2BEC72
Number: 158885, Binary: 100110110010100101, Hex: 26CA5
Number: 2441957, Binary: 1001010100001011100101, Hex: 2542E5
Number: 5914794, Binary: 10110100100000010101010, Hex: 5A40AA
Number: 3999272, Binary: 1111010000011000101000, Hex: 3D0628
Number: 3142897, Binary: 1011111111010011110001, Hex: 2FF4F1
Number: 8151159, Binary: 11111000110000001110111, Hex: 7C6077
Number: 5147564, Binary: 10011101000101110101100, Hex: 4E8BAC
Number: 4595374, Binary: 10001100001111010101110, Hex: 461EAE
Number: 4234951, Binary: 10000001001111011000111, Hex: 409EC7
Number: 7880605, Binary: 11110000011111110011101, Hex: 783F9D
Number: 7009921, Binary: 11010101111011010000001, Hex: 6AF681
Number: 695580, Binary: 10101001110100011100, Hex: A9D1C
Number: 7370443, Binary: 11100000111011011001011, Hex: 7076CB
Number: 7921729, Binary: 11110001110000001000001, Hex: 78E041
Number: 8419625, Binary: 100000000111100100101001, Hex: 807929
Number: 7024080, Binary: 11010110010110111010000, Hex: 6B2DD0
Number: 3905988, Binary: 1110111001100111000100, Hex: 3B99C4
Number: 1767599, Binary: 110101111100010101111, Hex: 1AF8AF
Number: 935136, Binary: 11100100010011100000, Hex: E44E0
Number: 635788, Binary: 10011011001110001100, Hex: 9B38C
Number: 8807719, Binary: 100001100110010100100111, Hex: 866527
Number: 317375, Binary: 1001101011110111111, Hex: 4D7BF
Number: 9975410, Binary: 100110000011011001110010, Hex: 983672
Number: 2727968, Binary: 1010011010000000100000, Hex: 29A020
Number: 7444399, Binary: 11100011001011110101111, Hex: 7197AF
Number: 4065675, Binary: 1111100000100110001011, Hex: 3E098B
Number: 9925720, Binary: 100101110111010001011000, Hex: 977458
Number: 2293633, Binary: 1000101111111110000001, Hex: 22FF81
Number: 7734826, Binary: 11101100000011000101010, Hex: 76062A
Number: 1065463, Binary: 100000100000111110111, Hex: 1041F7
Number: 1105617, Binary: 100001101111011010001, Hex: 10DED1
Number: 5325800, Binary: 10100010100001111101000, Hex: 5143E8
Number: 3822527, Binary: 1110100101001110111111, Hex: 3A53BF
Number: 5503858, Binary: 10100111111101101110010, Hex: 53FB72
Number: 9214055, Binary: 100011001001100001100111, Hex: 8C9867
Number: 6521769, Binary: 11000111000001110101001, Hex: 6383A9
Number: 7923796, Binary: 11110001110100001010100, Hex: 78E854
Number: 5250236, Binary: 10100000001110010111100, Hex: 501CBC
Number: 1083154, Binary: 100001000011100010010, Hex: 108712
Number: 472141, Binary: 1110011010001001101, Hex: 7344D
Number: 9597454, Binary: 100100100111001000001110, Hex: 92720E
Number: 1581679, Binary: 110000010001001101111, Hex: 18226F
Number: 656751, Binary: 10100000010101101111, Hex: A056F
Number: 345464, Binary: 1010100010101111000, Hex: 54578
Number: 4281218, Binary: 10000010101001110000010, Hex: 415382
Number: 6558883, Binary: 11001000001010010100011, Hex: 6414A3
Number: 3852986, Binary: 1110101100101010111010, Hex: 3ACABA
Number: 6263187, Binary: 10111111001000110010011, Hex: 5F9193
Number: 5828308, Binary: 10110001110111011010100, Hex: 58EED4
Number: 8058535, Binary: 11110101111011010100111, Hex: 7AF6A7
Number: 9035191, Binary: 100010011101110110110111, Hex: 89DDB7
Number: 7922103, Binary: 11110001110000110110111, Hex: 78E1B7
Number: 9366003, Binary: 100011101110100111110011, Hex: 8EE9F3
Number: 4555717, Binary: 10001011000001111000101, Hex: 4583C5
Number: 3526753, Binary: 1101011101000001100001, Hex: 35D061
Number: 3176815, Binary: 1100000111100101101111, Hex: 30796F
Number: 858440, Binary: 11010001100101001000, Hex: D1948
Number: 2250854, Binary: 1000100101100001100110, Hex: 225866


Number: 7116776, Binary: 11011001001011111101000, Hex: 6C97E8
Number: 1666340, Binary: 110010110110100100100, Hex: 196D24
Number: 8886983, Binary: 100001111001101011000111, Hex: 879AC7
Number: 839365, Binary: 11001100111011000101, Hex: CCEC5
Number: 924280, Binary: 11100001101001111000, Hex: E1A78
Number: 1026310, Binary: 11111010100100000110, Hex: FA906
Number: 1615293, Binary: 110001010010110111101, Hex: 18A5BD
Number: 1063875, Binary: 100000011101111000011, Hex: 103BC3
Number: 679035, Binary: 10100101110001111011, Hex: A5C7B
Number: 5201970, Binary: 10011110110000000110010, Hex: 4F6032
Number: 593979, Binary: 10010001000000111011, Hex: 9103B
Number: 801371, Binary: 11000011101001011011, Hex: C3A5B
Number: 3796878, Binary: 1110011110111110001110, Hex: 39EF8E
Number: 7489201, Binary: 11100100100011010110001, Hex: 7246B1
Number: 9740020, Binary: 100101001001111011110100, Hex: 949EF4
Number: 9128737, Binary: 100010110100101100100001, Hex: 8B4B21
Number: 5473463, Binary: 10100111000010010110111, Hex: 5384B7
Number: 8701957, Binary: 100001001100100000000101, Hex: 84C805
Number: 8238050, Binary: 11111011011001111100010, Hex: 7DB3E2
Number: 8679038, Binary: 100001000110111001111110, Hex: 846E7E
Number: 385912, Binary: 1011110001101111000, Hex: 5E378
Number: 5867340, Binary: 10110011000011101001100, Hex: 59874C
Number: 4894542, Binary: 10010101010111101001110, Hex: 4AAF4E
Number: 8999451, Binary: 100010010101001000011011, Hex: 89521B
Number: 4392535, Binary: 10000110000011001010111, Hex: 430657
Number: 2078131, Binary: 111111011010110110011, Hex: 1FB5B3
Number: 3070124, Binary: 1011101101100010101100, Hex: 2ED8AC
Number: 7451998, Binary: 11100011011010101011110, Hex: 71B55E
Number: 5635510, Binary: 10101011111110110110110, Hex: 55FDB6
Number: 1233932, Binary: 100101101010000001100, Hex: 12D40C
Number: 6089867, Binary: 10111001110110010001011, Hex: 5CEC8B
Number: 1792316, Binary: 110110101100100111100, Hex: 1B593C
Number: 6298637, Binary: 11000000001110000001101, Hex: 601C0D
Number: 2408038, Binary: 1001001011111001100110, Hex: 24BE66
Number: 8510100, Binary: 100000011101101010010100, Hex: 81DA94
Number: 991581, Binary: 11110010000101011101, Hex: F215D
Number: 6455739, Binary: 11000101000000110111011, Hex: 6281BB
Number: 7829175, Binary: 11101110111011010110111, Hex: 7776B7
Number: 6328931, Binary: 11000001001001001100011, Hex: 609263
Number: 9982305, Binary: 100110000101000101100001, Hex: 985161
Number: 2292022, Binary: 1000101111100100110110, Hex: 22F936
Number: 1070496, Binary: 100000101010110100000, Hex: 1055A0
Number: 8518360, Binary: 100000011111101011011000, Hex: 81FAD8
Number: 6378470, Binary: 11000010101001111100110, Hex: 6153E6
Number: 7756258, Binary: 11101100101100111100010, Hex: 7659E2
Number: 7111767, Binary: 11011001000010001010111, Hex: 6C8457
Number: 2685897, Binary: 1010001111101111001001, Hex: 28FBC9
Number: 617946, Binary: 10010110110111011010, Hex: 96DDA
Number: 246280, Binary: 111100001000001000, Hex: 3C208
Number: 6075442, Binary: 10111001011010000110010, Hex: 5CB432
Number: 991323, Binary: 11110010000001011011, Hex: F205B
Number: 6754202, Binary: 11001110000111110011010, Hex: 670F9A
Number: 3103178, Binary: 1011110101100111001010, Hex: 2F59CA
Number: 3228842, Binary: 1100010100010010101010, Hex: 3144AA
Number: 6786623, Binary: 11001111000111000111111, Hex: 678E3F
Number: 5329085, Binary: 10100010101000010111101, Hex: 5150BD
Number: 2334647, Binary: 1000111001111110110111, Hex: 239FB7
Number: 7253396, Binary: 11011101010110110010100, Hex: 6EAD94
Number: 6516953, Binary: 11000110111000011011001, Hex: 6370D9
Number: 5972725, Binary: 10110110010001011110101, Hex: 5B22F5
Number: 5828037, Binary: 10110001110110111000101, Hex: 58EDC5
Number: 6642265, Binary: 11001010101101001011001, Hex: 655A59
Number: 2559699, Binary: 1001110000111011010011, Hex: 270ED3
Number: 6597631, Binary: 11001001010101111111111, Hex: 64ABFF
Number: 5826202, Binary: 10110001110011010011010, Hex: 58E69A
Number: 4642335, Binary: 10001101101011000011111, Hex: 46D61F
Number: 1862900, Binary: 111000110110011110100, Hex: 1C6CF4
Number: 6039635, Binary: 10111000010100001010011, Hex: 5C2853
Number: 3358744, Binary: 1100110100000000011000, Hex: 334018
Number: 4965249, Binary: 10010111100001110000001, Hex: 4BC381
Number: 6621475, Binary: 11001010000100100100011, Hex: 650923
Number: 3336153, Binary: 1100101110011111011001, Hex: 32E7D9
Number: 1044743, Binary: 11111111000100000111, Hex: FF107
Number: 6201477, Binary: 10111101010000010000101, Hex: 5EA085
Number: 6297100, Binary: 11000000001011000001100, Hex: 60160C
Number: 885678, Binary: 11011000001110101110, Hex: D83AE
Number: 8546891, Binary: 100000100110101001001011, Hex: 826A4B
Number: 6683923, Binary: 11001011111110100010011, Hex: 65FD13
Number: 7064472, Binary: 11010111100101110011000, Hex: 6BCB98
Number: 3430021, Binary: 1101000101011010000101, Hex: 345685
Number: 9764122, Binary: 100101001111110100011010, Hex: 94FD1A
Number: 9958605, Binary: 100101111111010011001101, Hex: 97F4CD
Number: 1006022, Binary: 11110101100111000110, Hex: F59C6
Number: 5276496, Binary: 10100001000001101010000, Hex: 508350
Number: 8876232, Binary: 100001110111000011001000, Hex: 8770C8
Number: 3364648, Binary: 1100110101011100101000, Hex: 335728
Number: 3539979, Binary: 1101100000010000001011, Hex: 36040B
Number: 3003857, Binary: 1011011101010111010001, Hex: 2DD5D1
Number: 4481634, Binary: 10001000110001001100010, Hex: 446262
Number: 9035781, Binary: 100010011110000000000101, Hex: 89E005
Number: 3767021, Binary: 1110010111101011101101, Hex: 397AED
Number: 4993901, Binary: 10011000011001101101101, Hex: 4C336D
Number: 8698377, Binary: 100001001011101000001001, Hex: 84BA09
Number: 4626501, Binary: 10001101001100001000101, Hex: 469845
Number: 1755352, Binary: 110101100100011011000, Hex: 1AC8D8
Number: 2755340, Binary: 1010100000101100001100, Hex: 2A0B0C
Number: 5150616, Binary: 10011101001011110011000, Hex: 4E9798
Number: 9345169, Binary: 100011101001100010010001, Hex: 8E9891
Number: 848948, Binary: 11001111010000110100, Hex: CF434
Number: 2708748, Binary: 1010010101010100001100, Hex: 29550C
Number: 8372451, Binary: 11111111100000011100011, Hex: 7FC0E3
Number: 3523015, Binary: 1101011100000111000111, Hex: 35C1C7
Number: 2624283, Binary: 1010000000101100011011, Hex: 280B1B
Number: 8795348, Binary: 100001100011010011010100, Hex: 8634D4
Number: 2318100, Binary: 1000110101111100010100, Hex: 235F14
Number: 4750861, Binary: 10010000111111000001101, Hex: 487E0D
Number: 3770597, Binary: 1110011000100011100101, Hex: 3988E5
Number: 1053352, Binary: 100000001001010101000, Hex: 1012A8
Number: 833307, Binary: 11001011011100011011, Hex: CB71B
Number: 4632526, Binary: 10001101010111111001110, Hex: 46AFCE
Number: 2212917, Binary: 1000011100010000110101, Hex: 21C435
Number: 5053189, Binary: 10011010001101100000101, Hex: 4D1B05
Number: 412218, Binary: 1100100101000111010, Hex: 64A3A
Number: 4901564, Binary: 10010101100101010111100, Hex: 4ACABC
Number: 5094606, Binary: 10011011011110011001110, Hex: 4DBCCE
Number: 8070285, Binary: 11110110010010010001101, Hex: 7B248D
Number: 6847905, Binary: 11010000111110110100001, Hex: 687DA1
Number: 4311824, Binary: 10000011100101100010000, Hex: 41CB10
Number: 3009421, Binary: 1011011110101110001101, Hex: 2DEB8D
Number: 1629105, Binary: 110001101101110110001, Hex: 18DBB1
Number: 8431899, Binary: 100000001010100100011011, Hex: 80A91B
Number: 7582456, Binary: 11100111011001011111000, Hex: 73B2F8
Number: 7332147, Binary: 11011111110000100110011, Hex: 6FE133
Number: 314183, Binary: 1001100101101000111, Hex: 4CB47
Number: 7632568, Binary: 11101000111011010111000, Hex: 7476B8
Number: 8161327, Binary: 11111001000100000101111, Hex: 7C882F
Number: 6961087, Binary: 11010100011011110111111, Hex: 6A37BF
Number: 6898282, Binary: 11010010100001001101010, Hex: 69426A
Number: 9749303, Binary: 100101001100001100110111, Hex: 94C337
Number: 4427419, Binary: 10000111000111010011011, Hex: 438E9B
Number: 4368829, Binary: 10000101010100110111101, Hex: 42A9BD
Number: 6439318, Binary: 11000100100000110010110, Hex: 624196
Number: 6473603, Binary: 11000101100011110000011, Hex: 62C783
Number: 6446249, Binary: 11000100101110010101001, Hex: 625CA9
Number: 9818836, Binary: 100101011101001011010100, Hex: 95D2D4
Number: 9438069, Binary: 100100000000001101110101, Hex: 900375
Number: 2809499, Binary: 1010101101111010011011, Hex: 2ADE9B
Number: 3460304, Binary: 1101001100110011010000, Hex: 34CCD0
Number: 8430904, Binary: 100000001010010100111000, Hex: 80A538
Number: 9774785, Binary: 100101010010011011000001, Hex: 9526C1
Number: 9560603, Binary: 100100011110001000011011, Hex: 91E21B
Number: 3440732, Binary: 1101001000000001011100, Hex: 34805C
Number: 7053263, Binary: 11010111001111111001111, Hex: 6B9FCF
Number: 287398, Binary: 1000110001010100110, Hex: 462A6
Number: 4043644, Binary: 1111011011001101111100, Hex: 3DB37C
Number: 2943820, Binary: 1011001110101101001100, Hex: 2CEB4C
Number: 9030962, Binary: 100010011100110100110010, Hex: 89CD32
Number: 7537540, Binary: 11100110000001110000100, Hex: 730384
Number: 7203657, Binary: 11011011110101101001001, Hex: 6DEB49
Number: 5639400, Binary: 10101100000110011101000, Hex: 560CE8
Number: 9448142, Binary: 100100000010101011001110, Hex: 902ACE
Number: 9954392, Binary: 100101111110010001011000, Hex: 97E458
Number: 2856859, Binary: 1010111001011110011011, Hex: 2B979B
Number: 1332118, Binary: 101000101001110010110, Hex: 145396
Number: 6984725, Binary: 11010101001010000010101, Hex: 6A9415
Number: 1925762, Binary: 111010110001010000010, Hex: 1D6282
Number: 2138171, Binary: 1000001010000000111011, Hex: 20A03B
Number: 347447, Binary: 1010100110100110111, Hex: 54D37
Number: 8839390, Binary: 100001101110000011011110, Hex: 86E0DE
Number: 3951652, Binary: 1111000100110000100100, Hex: 3C4C24
Number: 3755102, Binary: 1110010100110001011110, Hex: 394C5E
Number: 6867687, Binary: 11010001100101011100111, Hex: 68CAE7
Number: 4383175, Binary: 10000101110000111000111, Hex: 42E1C7
Number: 7125508, Binary: 11011001011101000000100, Hex: 6CBA04
Number: 7799732, Binary: 11101110000001110110100, Hex: 7703B4
Number: 8784156, Binary: 100001100000100100011100, Hex: 86091C
Number: 1372809, Binary: 101001111001010001001, Hex: 14F289
Number: 1327984, Binary: 101000100001101110000, Hex: 144370
Number: 9205087, Binary: 100011000111010101011111, Hex: 8C755F
Number: 6524241, Binary: 11000111000110101010001, Hex: 638D51
Number: 9316072, Binary: 100011100010011011101000, Hex: 8E26E8
Number: 127744, Binary: 11111001100000000, Hex: 1F300
Number: 8388820, Binary: 100000000000000011010100, Hex: 8000D4
Number: 6883557, Binary: 11010010000100011100101, Hex: 6908E5
Number: 2291239, Binary: 1000101111011000100111, Hex: 22F627
Number: 3101270, Binary: 1011110101001001010110, Hex: 2F5256
Number: 1382825, Binary: 101010001100110101001, Hex: 1519A9
Number: 9873376, Binary: 100101101010011111100000, Hex: 96A7E0
Number: 6873500, Binary: 11010001110000110011100, Hex: 68E19C
Number: 8185634, Binary: 11111001110011100100010, Hex: 7CE722
Number: 2464786, Binary: 1001011001110000010010, Hex: 259C12
Number: 8387154, Binary: 11111111111101001010010, Hex: 7FFA52
Number: 5581444, Binary: 10101010010101010000100, Hex: 552A84
Number: 8097911, Binary: 11110111001000001110111, Hex: 7B9077
Number: 8882527, Binary: 100001111000100101011111, Hex: 87895F
Number: 8941444, Binary: 100010000110111110000100, Hex: 886F84
Number: 4942703, Binary: 10010110110101101101111, Hex: 4B6B6F
Number: 101144, Binary: 11000101100011000, Hex: 18B18
Number: 7471180, Binary: 11100100000000001001100, Hex: 72004C
Number: 1932131, Binary: 111010111101101100011, Hex: 1D7B63
Number: 8052752, Binary: 11110101110000000010000, Hex: 7AE010
Number: 6359493, Binary: 11000010000100111000101, Hex: 6109C5
Number: 1967646, Binary: 111100000011000011110, Hex: 1E061E
Number: 6575052, Binary: 11001000101001111001100, Hex: 6453CC
Number: 2323342, Binary: 1000110111001110001110, Hex: 23738E
Number: 6735760, Binary: 11001101100011110010000, Hex: 66C790
Number: 8895858, Binary: 100001111011110101110010, Hex: 87BD72
Number: 4238091, Binary: 10000001010101100001011, Hex: 40AB0B
Number: 7093069, Binary: 11011000011101101001101, Hex: 6C3B4D
Number: 39, Binary: 100111, Hex: 27


Number: -39, Binary: , Hex: 
Number: -36, Binary: , Hex: 
Number: 8, Binary: 1000, Hex: 8
Number: 34, Binary: 100010, Hex: 22
Number: 17, Binary: 10001, Hex: 11
Number: 49, Binary: 110001, Hex: 31
Number: 5, Binary: 101, Hex: 5
Number: 39, Binary: 100111, Hex: 27
Number: 0, Binary: 0, Hex: 0
Number: 33, Binary: 100001, Hex: 21
Number: 12, Binary: 1100, Hex: C
Number: -6, Binary: , Hex: 
Number: 27, Binary: 11011, Hex: 1B
Number: -4, Binary: , Hex: 
Number: -38, Binary: , Hex: 
Number: 26, Binary: 11010, Hex: 1A
Number: 49, Binary: 110001, Hex: 31
Number: 29, Binary: 11101, Hex: 1D
Number: 42, Binary: 101010, Hex: 2A
Number: -16, Binary: , Hex: 
Number: -28, Binary: , Hex: 
Number: 34, Binary: 100010, Hex: 22
Number: 20, Binary: 10100, Hex: 14
Number: 0, Binary: 0, Hex: 0
Number: 25, Binary: 11001, Hex: 19
Number: 45, Binary: 101101, Hex: 2D
Number: 3, Binary: 11, Hex: 3
Number: -46, Binary: , Hex: 
Number: -46, Binary: , Hex: 
Number: 29, Binary: 11101, Hex: 1D
Number: 33, Binary: 100001, Hex: 21
Number: 29, Binary: 11101, Hex: 1D
Number: 26, Binary: 11010, Hex: 1A
Number: -5, Binary: , Hex: 
Number: -36, Binary: , Hex: 
Number: 12, Binary: 1100, Hex: C
Number: 45, Binary: 101101, Hex: 2D
Number: -50, Binary: , Hex: 
Number: 0, Binary: 0, Hex: 0
Number: -6, Binary: , Hex: 
Number: -39, Binary: , Hex: 
Number: 35, Binary: 100011, Hex: 23
Number: 26, Binary: 11010, Hex: 1A
Number: -35, Binary: , Hex: 
Number: -42, Binary: , Hex: 
Number: 14, Binary: 1110, Hex: E
Number: -3, Binary: , Hex: 
Number: 22, Binary: 10110, Hex: 16
Number: -47, Binary: , Hex: 
Number: 12, Binary: 1100, Hex: C
Number: -17, Binary: , Hex: 
Number: -31, Binary: , Hex: 
Number: -25, Binary: , Hex: 
Number: -35, Binary: , Hex: 
Number: -18, Binary: , Hex: 
Number: 14, Binary: 1110, Hex: E
Number: 37, Binary: 100101, Hex: 25
Number: -8, Binary: , Hex: 
Number: -41, Binary: , Hex: 
Number: -50, Binary: , Hex: 
Number: -9, Binary: , Hex: 
Number: 2, Binary: 10, Hex: 2
Number: 12, Binary: 1100, Hex: C
Number: -39, Binary: , Hex: 
Number: -17, Binary: , Hex: 
Number: 0, Binary: 0, Hex: 0
Number: 27, Binary: 11011, Hex: 1B
Number: 28, Binary: 11100, Hex: 1C
Number: 45, Binary: 101101, Hex: 2D
